"Value","Time","ESP","Var","Units","Pattern_check"
0.247765745876459,2019,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.273941992440178,2018,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.254363532354937,2017,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.293192797625744,2016,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.239839648950515,2015,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.245633553333172,2014,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.286473706006249,2013,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.287209898176863,2012,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.257697530070388,2011,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.252611325501189,2010,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.234996397303499,2009,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.225619559543258,2008,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.255963666851124,2007,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.269712852534427,2006,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.228756222620233,2005,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.23040358821174,2004,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.231444739686545,2003,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.263041409857661,2002,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.259148170585223,2001,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.257859282935442,2000,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.27723117913849,1999,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.221144505867771,1998,"acadian_redfish_both","winter","gC m-2 d-1","Acadian redfish both"
0.566820171607446,2019,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.737130760769301,2018,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.589094975169449,2017,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.737009207885477,2016,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.580600834169468,2015,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.664039559800665,2014,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.644338626939536,2013,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.816891853615324,2012,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.697735652531749,2011,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.761053564401209,2010,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.703966370877801,2009,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.748551093172278,2008,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.653341673960194,2007,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.703248142052521,2006,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.602007924775245,2005,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.647801419306525,2004,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.656689308129758,2003,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.652751321232623,2002,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.500289051675505,2001,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.581335024757775,2000,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.560282277056821,1999,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
0.505387491442698,1998,"acadian_redfish_both","spring","gC m-2 d-1","Acadian redfish both"
1.03141854145104,2019,"acadian_redfish_both","summer","gC m-2 d-1","Acadian redfish both"
0.971142444857062,2018,"acadian_redfish_both","summer","gC m-2 d-1","Acadian redfish both"
0.918122736914751,2017,"acadian_redfish_both","summer","gC m-2 d-1","Acadian redfish both"
