Species,Worked,Loo,K,Winfinity,tmax,tm,M,Lm,Temperature,ln_var,rho,ln_MASPS,ln_margsd,h,logitbound_h,ln_Fmsy_over_M,ln_Fmsy,ln_r,r,ln_G,G
Sebastes_fasciatus,TRUE,3.623418127,-2.008770312,6.358478599,3.375243985,2.052222292,-1.973604369,3.10487496,12.9023397,-2.334865992,0.703281854,0.54128781,-0.771409441,0.761320653,0.973509043,0.999657687,-0.977592198,-1.725027389,0.19025264,2.856963709,17.70879449
Alosa_pseudoharengus,TRUE,2.937099961,-0.697213676,4.562237099,1.496002045,0.667220368,-0.077988362,2.329229339,20.06784345,-2.639842913,0.719355095,5.362733804,-0.89569971,0.985853557,4.268141802,2.882263117,2.799993822,0.581925317,1.824953001,1.191308297,3.362243038
Hippoglossoides_platessoides,TRUE,4.150577963,-2.243241159,8.086384036,3.200210344,1.787831853,-1.642458033,3.467428243,3.177388744,-2.221030856,0.661266097,1.947923821,-0.754142477,0.88141976,2.086616483,1.669675818,0.023383442,-1.152229437,0.337195298,2.668924041,14.57700925
Gadus_morhua,TRUE,4.649097234,-1.80063307,9.341266093,2.676891274,0.926631293,-1.299318188,3.878587157,5.535200948,-1.448287648,0.384897685,1.233822216,-0.638686523,0.792584458,1.061006932,1.073668321,-0.22650822,-1.062621342,0.347063335,2.220959539,9.233427392
Gadus_macrocephalus,TRUE,4.547948594,-1.475335334,9.030594193,2.509096868,0.910567183,-0.791969069,3.951336421,6.285246275,-0.868143416,0.268360099,0.907804732,-0.392816704,0.6554465,0.334842853,0.56771513,-0.222164484,-1.143825045,0.357825395,1.821909827,6.264906784
Lepidion_eques,TRUE,3.885958324,-1.346214679,6.829021548,2.463375702,1.211402485,-0.786582492,3.312895486,18.39709699,-2.246422197,0.54566854,0.795415052,-0.863288481,0.634548797,0.256027088,0.458294192,-0.330688052,-1.31442083,0.374770294,1.851009121,6.876884156
Hippoglossus_hippoglossus,TRUE,5.352522523,-2.688023956,11.76153899,3.482267686,2.280872495,-1.961672472,4.551082832,9.887502763,-3.406054795,0.858692891,1.097779694,-0.974734234,0.818618861,1.526913424,1.329381491,-0.63313275,-1.727053915,0.196956803,3.0485439,21.44673162
Clupea_harengus,TRUE,3.413598395,-1.088074775,5.268529011,2.523831799,1.600516019,-1.407727611,3.245674422,8.270481586,-0.914275821,0.318222425,-0.014322202,-0.398888215,0.578538616,-0.109232033,0.290816347,-1.1158644,-1.665613714,0.190950709,2.235369375,9.364061296
Scomber_scombrus,TRUE,3.680472307,-1.135746744,6.459402698,2.554724171,1.108099425,-1.217139042,3.287419206,11.53361791,-0.576807395,0.275527248,0.462118985,-0.244036165,0.643418258,0.23476876,0.520954934,-0.698652816,-1.310910329,0.282437327,2.03196511,7.696515137
Anarhichas_lupus,TRUE,4.909576366,-2.46133245,9.864842539,3.424300314,2.049952458,-2.049769528,4.263719484,6.669130538,-2.430708744,0.594342436,-0.792020052,-0.906732111,0.560273929,-0.295325325,0.059144948,-1.968175232,-2.621642378,0.116788017,2.99658613,21.20762626
Dipturus_laevis,TRUE,5.081650205,-2.108572166,9.754812745,2.625944803,1.989363734,-1.435103332,4.507907101,15.59424883,-3.662469252,0.686564971,-1.230539974,-1.365304354,0.444695614,-1.312097838,-0.778893684,-2.209929916,-2.9532379,0.107441299,2.54323623,13.14159028
Centropristis_striata,TRUE,3.353411833,-1.154844432,5.298040896,2.113767888,1.073677531,-0.526770858,2.805762421,18.67352009,-2.397884313,0.600576605,2.069416432,-0.902867423,0.779141208,1.273005298,1.158750999,0.625442014,-0.642675801,0.610640051,1.637701509,5.305936237
Stereolepis_gigas,TRUE,4.293881962,-1.74276522,8.568500575,2.975974725,1.473685853,-1.307159121,3.683783991,17.05457086,-1.854635959,0.557058856,0.789342642,-0.601139331,0.697647729,0.747004118,0.790503298,-0.480574002,-1.438501507,0.372881297,2.265072059,12.17917677
Pomatomus_saltatrix,TRUE,4.570419152,-1.70910451,9.300032278,2.352156785,1.120099382,-0.904288138,3.719207263,22.96209699,-3.262856675,0.759932034,2.277975694,-1.044837795,0.83004476,1.747468646,1.448605924,0.534269815,-0.726429066,0.551016353,1.986341514,7.424620363
Anoplopoma_fimbria,TRUE,4.306659994,-1.53078959,7.703478173,2.937509491,1.595963215,-1.438446012,3.968762403,8.920540498,-0.934489825,0.238941363,-2.210755121,-0.431022882,0.308213638,-2.302006084,-1.538154372,-2.945091911,-3.376793439,0.053568011,2.33368612,10.73399398
Thymallus_arcticus,TRUE,3.825263183,-1.570487261,6.806638119,2.564037142,1.349839036,-0.849603419,3.256978986,7.532446353,-1.972988083,0.539132543,1.852732883,-0.767009976,0.797388999,1.356473769,1.222262034,0.374782248,-0.856083096,0.479501134,1.969449271,7.331445539
Kyphosus_vaigiensis,TRUE,3.936519575,-1.27812235,7.515088004,2.873142521,1.464625177,-1.020287259,3.426347399,23.81553034,-1.850098437,0.571324567,0.670230215,-0.594239657,0.639234651,0.299624994,0.45502956,-0.570640085,-1.511835306,0.37819566,2.038302129,9.067503501
Girella_cyanea,TRUE,3.861764617,-1.346647349,7.212826085,2.976327274,1.558615218,-1.172309959,3.424794504,18.27840901,-1.411639477,0.489723991,0.352642436,-0.481772045,0.61829568,0.131470309,0.342230384,-0.822297674,-1.679413258,0.311759034,2.151481886,9.779143917
Alosa_aestivalis,TRUE,3.492118148,-0.967946004,6.049049317,1.990781851,1.037915855,-0.536133527,2.938105414,18.82811765,-2.397773691,0.6426207,3.301295985,-0.838178443,0.910037943,2.489722101,1.900799898,1.335506235,-0.191678489,0.929712321,1.618607276,5.547160834
Peprilus_triacanthus,TRUE,3.049292719,-0.241838261,4.870716239,1.669868737,0.101500116,0.104852449,2.610394457,18.29441269,-0.027134485,0.172250347,2.641228076,0.036796573,0.77434246,1.444872516,1.222857304,1.321496671,-0.108993267,1.168035881,0.864431643,2.566653279
Hyperoglyphe_antarctica,TRUE,4.661869371,-2.05000921,9.463057475,3.042390291,1.653123082,-1.549662974,4.003878214,11.69039056,-2.193499486,0.583035658,0.517901918,-0.833317086,0.674912032,0.543812664,0.662174873,-0.891701795,-1.741417882,0.242491515,2.546859587,13.45527025
Dactylophora_nigricans,TRUE,3.78085963,-1.391667308,6.924139791,2.94252521,1.348357167,-1.278402337,3.286125738,16.26938613,-1.211571359,0.438618149,0.411898354,-0.420049707,0.640229001,0.278729303,0.46396451,-0.830935614,-1.615668968,0.332436464,2.19937157,11.47158465
