"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","sig"
"1","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Cnidaria
Absolute Number of Individuals",29379264.6990232,FALSE,30,0.399907051668459,FALSE
"2","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Euphausiacea
Absolute Number of Individuals",8167723.7673819,FALSE,30,0.708684675571928,FALSE
"3","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","LargeCalanoida
Absolute Number of Individuals",164760962.97416,FALSE,30,0.0921227244788975,FALSE
"4","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","SmallCalanoida
Absolute Number of Individuals",2057320421.85807,FALSE,30,0.0667031586432122,FALSE
"5","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Cnidaria
Absolute Number of Individuals",8159228.04500735,FALSE,30,0.399907051668459,FALSE
"6","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Euphausiacea
Absolute Number of Individuals",12005377.5445703,FALSE,30,0.708684675571928,FALSE
"7","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","LargeCalanoida
Absolute Number of Individuals",155001553.948152,FALSE,30,0.0921227244788975,FALSE
"8","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","SmallCalanoida
Absolute Number of Individuals",2457720880.88684,FALSE,30,0.0667031586432122,FALSE
"9","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Cnidaria
Absolute Number of Individuals",26261334.7585025,FALSE,30,0.399907051668459,FALSE
"10","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Euphausiacea
Absolute Number of Individuals",4545720.44584119,FALSE,30,0.708684675571928,FALSE
"11","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","LargeCalanoida
Absolute Number of Individuals",97216304.4268092,FALSE,30,0.0921227244788975,FALSE
"12","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","SmallCalanoida
Absolute Number of Individuals",1614311073.68881,FALSE,30,0.0667031586432122,FALSE
"13","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Cnidaria
Absolute Number of Individuals",54671643.9506965,FALSE,30,0.399907051668459,FALSE
"14","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Euphausiacea
Absolute Number of Individuals",22833362.1665959,FALSE,30,0.708684675571928,FALSE
