"","Species","Region","Indicator","Year","Value","rank","norm_rank"
"1","Atlantic herring","Northwestern Atlantic Coast","bbmsy","2017",0.749000012874603,13,0.565217391304348
"2","American plaice","Gulf of Maine / Georges Bank","bbmsy","2016",0.989000022411346,8,0.347826086956522
"3","Atlantic wolffish","Gulf of Maine / Georges Bank","bbmsy","2016",0.404000014066696,17,0.739130434782609
"4","Ocean pout","Northwestern Atlantic Coast","bbmsy","2016",0.0450000017881393,22,0.956521739130435
"5","Pollock","Gulf of Maine / Georges Bank","bbmsy","2016",1.74300003051758,3,0.130434782608696
"6","Red hake","Gulf of Maine / Northern Georges Bank","bbmsy","2016",2.01999998092651,2,0.0869565217391304
"7","Red hake","Southern Georges Bank / Mid-Atlantic","bbmsy","2016",0.372999995946884,18,0.782608695652174
"8","Silver hake","Gulf of Maine / Northern Georges Bank","bbmsy","2016",3.1029999256134,1,0.0434782608695652
"9","Silver hake","Southern Georges Bank / Mid-Atlantic","bbmsy","2016",0.635999977588654,15,0.652173913043478
"10","White hake","Gulf of Maine / Georges Bank","bbmsy","2016",0.686999976634979,14,0.608695652173913
"11","Windowpane","Gulf of Maine / Georges Bank","bbmsy","2016",0.174999997019768,19,0.826086956521739
"12","Windowpane","Southern New England / Mid-Atlantic","bbmsy","2016",1.29999995231628,4,0.173913043478261
"13","Winter flounder","Georges Bank","bbmsy","2016",0.518999993801117,16,0.695652173913043
"14","Winter flounder","Gulf of Maine","bbmsy","2004",0.839999973773956,12,0.521739130434783
"15","Yellowtail flounder","Georges Bank","bbmsy","2011",0.105999998748302,20,0.869565217391304
"16","Yellowtail flounder","Southern New England / Mid-Atlantic","bbmsy","2016",0.0820000022649765,21,0.91304347826087
"17","Barndoor skate","Georges Bank / Southern New England","bbmsy","2018",1.15299999713898,6,0.260869565217391
"18","Clearnose skate","Southern New England / Mid-Atlantic","bbmsy","2018",0.924000024795532,10,0.434782608695652
"19","Little skate","Georges Bank / Southern New England","bbmsy","2019",0.865000009536743,11,0.478260869565217
"20","Rosette skate","Southern New England / Mid-Atlantic","bbmsy","2018",0.978999972343445,9,0.391304347826087
"21","Smooth skate","Gulf of Maine","bbmsy","2018",1,7,0.304347826086957
"22","Thorny skate","Gulf of Maine","bbmsy","2018",0.0390000008046627,23,1
"23","Winter skate","Georges Bank / Southern New England","bbmsy","2018",1.27600002288818,5,0.217391304347826
"24","American plaice","Gulf of Maine / Georges Bank","ffmsy","2016",0.504999995231628,12,0.6
"25","Atlantic cod","Eastern Georges Bank","ffmsy","2015",0.455000013113022,11,0.55
"26","Atlantic cod","Georges Bank","ffmsy","2011",2.38899993896484,18,0.9
"27","Atlantic cod","Gulf of Maine","ffmsy","2010",5.69999980926514,20,1
"28","Atlantic halibut","Northwestern Atlantic Coast","ffmsy","2010",0.437999993562698,10,0.5
"29","Atlantic herring","Northwestern Atlantic Coast","ffmsy","2017",0.882000029087067,15,0.75
"30","Atlantic wolffish","Gulf of Maine / Georges Bank","ffmsy","2016",0.00899999961256981,1,0.05
"31","Haddock","Eastern Georges Bank","ffmsy","2016",0.384999990463257,9,0.45
"32","Ocean pout","Northwestern Atlantic Coast","ffmsy","2016",0.291000008583069,7,0.35
"33","Pollock","Gulf of Maine / Georges Bank","ffmsy","2016",0.137999996542931,3,0.15
"34","Red hake","Gulf of Maine / Northern Georges Bank","ffmsy","2016",0.551999986171722,13,0.65
"35","Red hake","Southern Georges Bank / Mid-Atlantic","ffmsy","2016",1.35899996757507,17,0.85
"36","Silver hake","Gulf of Maine / Northern Georges Bank","ffmsy","2016",0.0540000014007092,2,0.1
"37","Silver hake","Southern Georges Bank / Mid-Atlantic","ffmsy","2016",0.171000003814697,4,0.2
"38","Windowpane","Gulf of Maine / Georges Bank","ffmsy","2016",0.652999997138977,14,0.7
"39","Windowpane","Southern New England / Mid-Atlantic","ffmsy","2016",0.902999997138977,16,0.8
"40","Winter flounder","Georges Bank","ffmsy","2016",0.224999994039536,5,0.25
"41","Winter flounder","Gulf of Maine","ffmsy","2016",0.374000012874603,8,0.4
"42","Yellowtail flounder","Georges Bank","ffmsy","2014",0.242000006139278,6,0.3
"43","Yellowtail flounder","Southern New England / Mid-Atlantic","ffmsy","2016",3.20600008964539,19,0.95
"44","Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","1942",55892000,34,1
"45","American plaice","Gulf of Maine / Georges Bank","asmt_catch","1982",15570,19,0.558823529411765
"46","Atlantic cod","Eastern Georges Bank","asmt_catch","1984",10558,15,0.441176470588235
"47","Atlantic cod","Georges Bank","asmt_catch","2007",3699,7,0.205882352941176
"48","Atlantic cod","Gulf of Maine","asmt_catch","1991",20944,26,0.764705882352941
"49","Atlantic mackerel","Gulf of Maine / Cape Hatteras","asmt_catch","1973",432608,33,0.970588235294118
"50","Atlantic wolffish","Gulf of Maine / Georges Bank","asmt_catch","1983",1112.40002441406,2,0.0588235294117647
"51","Barndoor skate","Georges Bank / Southern New England","asmt_catch","2014",5062,11,0.323529411764706
"52","Butterfish","Gulf of Maine / Cape Hatteras","asmt_catch","1993",12185,17,0.5
"53","Clearnose skate","Southern New England / Mid-Atlantic","asmt_catch","1994",5012,10,0.294117647058824
"54","Goosefish","Gulf of Maine / Northern Georges Bank","asmt_catch","2003",16203,22,0.647058823529412
"55","Goosefish","Southern Georges Bank / Mid-Atlantic","asmt_catch","1998",20568,25,0.735294117647059
"56","Haddock","Eastern Georges Bank","asmt_catch","1980",13176,18,0.529411764705882
"57","Haddock","Georges Bank","asmt_catch","1965",150362,31,0.911764705882353
"58","Haddock","Gulf of Maine","asmt_catch","1983",7656,14,0.411764705882353
"59","Little skate","Georges Bank / Southern New England","asmt_catch","1993",17889,23,0.676470588235294
"60","Pollock","Gulf of Maine / Georges Bank","asmt_catch","1986",25208,28,0.823529411764706
"61","Red hake","Gulf of Maine / Northern Georges Bank","asmt_catch","1982",2670.00007629395,5,0.147058823529412
"62","Red hake","Southern Georges Bank / Mid-Atlantic","asmt_catch","1966",111790.000915527,30,0.882352941176471
"63","Rosette skate","Southern New England / Mid-Atlantic","asmt_catch","1988",1810,4,0.117647058823529
"64","Silver hake","Gulf of Maine / Northern Georges Bank","asmt_catch","1964",94459.9990844727,29,0.852941176470588
"65","Silver hake","Southern Georges Bank / Mid-Atlantic","asmt_catch","1965",294119.995117188,32,0.941176470588235
"66","Smooth skate","Gulf of Maine","asmt_catch","1974",1667,3,0.0882352941176471
"67","Thorny skate","Gulf of Maine","asmt_catch","1973",5773,13,0.382352941176471
"68","White hake","Gulf of Maine / Georges Bank","asmt_catch","1993",10629,16,0.470588235294118
"69","Windowpane","Gulf of Maine / Georges Bank","asmt_catch","1991",3660,6,0.176470588235294
"70","Windowpane","Southern New England / Mid-Atlantic","asmt_catch","1990",5318,12,0.352941176470588
"71","Winter flounder","Georges Bank","asmt_catch","1983",4203,8,0.235294117647059
"72","Winter flounder","Gulf of Maine","asmt_catch","2012",381,1,0.0294117647058824
"73","Winter flounder","Southern New England / Mid-Atlantic","asmt_catch","1981",15764,20,0.588235294117647
"74","Winter skate","Georges Bank / Southern New England","asmt_catch","1990",18876,24,0.705882352941177
"75","Yellowtail flounder","Cape Cod / Gulf of Maine","asmt_catch","1990",4460.00003814697,9,0.264705882352941
"76","Yellowtail flounder","Georges Bank","asmt_catch","1969",15944,21,0.617647058823529
"77","Yellowtail flounder","Southern New England / Mid-Atlantic","asmt_catch","1983",22211,27,0.794117647058823
"78","Acadian redfish","Gulf of Maine / Georges Bank","recruitment","mean of last 10 years vs historic mean",1.6774290512658,5,0.357142857142857
"79","American plaice","Gulf of Maine / Georges Bank","recruitment","mean of last 10 years vs historic mean",0.500412754874886,10,0.714285714285714
"80","Atlantic mackerel","Gulf of Maine / Cape Hatteras","recruitment","mean of last 10 years vs historic mean",0.230182846811216,12,0.857142857142857
"81","Atlantic wolffish","Gulf of Maine / Georges Bank","recruitment","mean of last 10 years vs historic mean",0.551654073274494,9,0.642857142857143
"82","Butterfish","Gulf of Maine / Cape Hatteras","recruitment","mean of last 10 years vs historic mean",0.629873613926315,8,0.571428571428571
"83","Haddock","Eastern Georges Bank","recruitment","mean of last 10 years vs historic mean",5.66710989185618,3,0.214285714285714
"84","Haddock","Georges Bank","recruitment","mean of last 10 years vs historic mean",11.0502355627935,1,0.0714285714285714
"85","Haddock","Gulf of Maine","recruitment","mean of last 10 years vs historic mean",8.85363257626663,2,0.142857142857143
"86","Pollock","Gulf of Maine / Georges Bank","recruitment","mean of last 10 years vs historic mean",1.99126950905938,4,0.285714285714286
"87","White hake","Gulf of Maine / Georges Bank","recruitment","mean of last 10 years vs historic mean",0.691078514739229,7,0.5
"88","Winter flounder","Georges Bank","recruitment","mean of last 10 years vs historic mean",0.356923284044248,11,0.785714285714286
"89","Winter flounder","Southern New England / Mid-Atlantic","recruitment","mean of last 10 years vs historic mean",0.201509388951235,13,0.928571428571429
"90","Yellowtail flounder","Cape Cod / Gulf of Maine","recruitment","mean of last 10 years vs historic mean",0.737025953323768,6,0.428571428571429
"91","Yellowtail flounder","Southern New England / Mid-Atlantic","recruitment","mean of last 10 years vs historic mean",0.090230576868772,14,1
"92","Acadian redfish","Gulf of Maine / Georges Bank","abundance","mean of last 10 years vs historic mean",1.6774290512658,5,0.357142857142857
"93","American plaice","Gulf of Maine / Georges Bank","abundance","mean of last 10 years vs historic mean",0.500412754874886,10,0.714285714285714
"94","Atlantic mackerel","Gulf of Maine / Cape Hatteras","abundance","mean of last 10 years vs historic mean",0.230182846811216,12,0.857142857142857
"95","Atlantic wolffish","Gulf of Maine / Georges Bank","abundance","mean of last 10 years vs historic mean",0.551654073274494,9,0.642857142857143
"96","Butterfish","Gulf of Maine / Cape Hatteras","abundance","mean of last 10 years vs historic mean",0.629873613926315,8,0.571428571428571
"97","Haddock","Eastern Georges Bank","abundance","mean of last 10 years vs historic mean",5.66710989185618,3,0.214285714285714
"98","Haddock","Georges Bank","abundance","mean of last 10 years vs historic mean",11.0502355627935,1,0.0714285714285714
"99","Haddock","Gulf of Maine","abundance","mean of last 10 years vs historic mean",8.85363257626663,2,0.142857142857143
"100","Pollock","Gulf of Maine / Georges Bank","abundance","mean of last 10 years vs historic mean",1.99126950905938,4,0.285714285714286
"101","White hake","Gulf of Maine / Georges Bank","abundance","mean of last 10 years vs historic mean",0.691078514739229,7,0.5
"102","Winter flounder","Georges Bank","abundance","mean of last 10 years vs historic mean",0.356923284044248,11,0.785714285714286
"103","Winter flounder","Southern New England / Mid-Atlantic","abundance","mean of last 10 years vs historic mean",0.201509388951235,13,0.928571428571429
"104","Yellowtail flounder","Cape Cod / Gulf of Maine","abundance","mean of last 10 years vs historic mean",0.737025953323768,6,0.428571428571429
"105","Yellowtail flounder","Southern New England / Mid-Atlantic","abundance","mean of last 10 years vs historic mean",0.090230576868772,14,1
"106","Spiny dogfish","all","biomass_fall","mean of last 10 years vs historic mean",1.83155713326719,20,0.392156862745098
"107","Winter skate","all","biomass_fall","mean of last 10 years vs historic mean",2.00793845466965,17,0.333333333333333
"108","Little skate","all","biomass_fall","mean of last 10 years vs historic mean",3.4420482495049,4,0.0784313725490196
"109","Alewife","all","biomass_fall","mean of last 10 years vs historic mean",2.61375832006809,11,0.215686274509804
"110","Silver hake","Gulf of Maine / Northern Georges Bank","biomass_fall","mean of last 10 years vs historic mean",7.84566606314355,1,0.0196078431372549
"111","Atlantic cod","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",0.766653482684801,45,0.882352941176471
"112","Haddock","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",3.56024203564166,3,0.0588235294117647
"113","Pollock","all","biomass_fall","mean of last 10 years vs historic mean",0.646700034650846,46,0.901960784313726
"114","White hake","all","biomass_fall","mean of last 10 years vs historic mean",1.03746046125653,36,0.705882352941177
"115","Red hake","Gulf of Maine / Northern Georges Bank","biomass_fall","mean of last 10 years vs historic mean",2.92142105954878,9,0.176470588235294
"116","American plaice","all","biomass_fall","mean of last 10 years vs historic mean",1.23869755043536,31,0.607843137254902
"117","Yellowtail flounder","Cape Cod / Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",1.60998662439384,21,0.411764705882353
"118","Winter flounder","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",1.33894789605894,30,0.588235294117647
"119","Windowpane","Gulf of Maine / Georges Bank","biomass_fall","mean of last 10 years vs historic mean",0.776773300693858,44,0.862745098039216
"120","Ocean pout","all","biomass_fall","mean of last 10 years vs historic mean",0.907876347699849,40,0.784313725490196
"121","Atlantic herring","all","biomass_fall","mean of last 10 years vs historic mean",2.44560847808709,12,0.235294117647059
"122","Atlantic halibut","all","biomass_fall","mean of last 10 years vs historic mean",1.05664175892375,35,0.686274509803922
"123","Goosefish","Gulf of Maine / Northern Georges Bank","biomass_fall","mean of last 10 years vs historic mean",1.5008134835651,24,0.470588235294118
"124","Barndoor skate","all","biomass_fall","mean of last 10 years vs historic mean",1.91590522232381,19,0.372549019607843
"125","Witch flounder","all","biomass_fall","mean of last 10 years vs historic mean",0.953071120525596,38,0.745098039215686
"126","Atlantic mackerel","all","biomass_fall","mean of last 10 years vs historic mean",1.98347515928574,18,0.352941176470588
"127","Acadian redfish","all","biomass_fall","mean of last 10 years vs historic mean",2.05987795157399,15,0.294117647058824
"128","Atlantic wolffish","all","biomass_fall","mean of last 10 years vs historic mean",0.595716498595045,48,0.941176470588235
"129","Thorny skate","all","biomass_fall","mean of last 10 years vs historic mean",0.426036526647969,50,0.980392156862745
"130","Smooth skate","all","biomass_fall","mean of last 10 years vs historic mean",2.34658254353425,13,0.254901960784314
"131","Blueback herring","all","biomass_fall","mean of last 10 years vs historic mean",3.08328024071879,8,0.156862745098039
"132","Haddock","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",3.25450730288513,7,0.137254901960784
"133","Yellowtail flounder","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",0.850403515414748,42,0.823529411764706
"134","Goosefish","Southern Georges Bank / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",1.08641516224164,33,0.647058823529412
"135","Atlantic cod","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",0.964175268083056,37,0.725490196078431
"136","Winter flounder","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",1.57665067029958,22,0.431372549019608
"137","Silver hake","Southern Georges Bank / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",3.28073491246106,6,0.117647058823529
