"","Stock Name","Jurisdiction","FMP","Science Center","Regional Ecosystem","FSSI Stock?","ITIS Taxon Serial Number","Scientific Name","Common Name","Stock Area","Assessment Year","Assessment Month","Last Data Year","Update Type","Review Result","Assessment Model","Model Version","Lead Lab","Citation","Final Assessment Report 1","Final Assessment Report 2","Point of Contact","Life History Data","Abundance Data","Catch Data","Assessment Level","Assessment Frequency","Assessment Type","Model Category","Catch Input Data","Abundance Input Data","Biological Input Data","Ecosystem Linkage","Composition Input Data","F Year","Estimated F","F Unit","F Basis","Flimit","Flimit Basis","Fmsy","Fmsy Basis","F/Flimit","F/Fmsy","Ftarget","Ftarget Basis","F/Ftarget","B Year","Estimated B","B Unit","B Basis","Blimit","Blimit Basis","Bmsy","Bmsy Basis","B/Blimit","B/Bmsy","MSY","MSY Unit"
"1","Cobia - Southern Atlantic Coast","ASMFC","ASMFC Not In FMP","SEFSC","Southeast Shelf","N",168566,"Rachycentron canadum","Cobia","Southern Atlantic Coast",2013,4,2011,"Benchmark","Full acceptance","BAM","Cobia","NMFS-SEFSC, Beaufort Lab","SEDAR 28, South Atlantic Cobia, January, 2013 (http://www.sefsc.noaa.gov/sedar/download/S28_SAR_SACobia_Final_1.9.2013.pdf?id=DOCUMENT)","South Atlantic Cobia",NA,"Kevin Craig",2,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,2011,0.275999993085861,"Apical_F","apical F (max F at age) - geometric mean last 3 years",0.460999995470047,"Fmsy",0.460999995470047,"Direct estimate",0.598999977111816,0.598999977111816,NA,NA,NA,2011,693,"mt","Mature female biomass",397.200012207031,"(1-M)*Bmsy",536.799987792969,"Direct Estimate",1.74500000476837,1.29100000858307,808000,"lbs"
"2","Albacore - North Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172419,"Thunnus alalunga","Albacore","North Atlantic",2007,7,2005,"Full Update","Full acceptance","MultifanCL",NA,"ICCAT-SCRS","http://www.iccat.int/Documents/Meetings/Docs/2007_ALB%20STOCK%20ASSESS%20REP_AUG_07.pdf","REPORT OF THE 2007 ICCAT ALBACO RE STOCK ASSESSMENT SESSION",NA,"Victor Restrepo",2,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,2005,0.272000014781952,"Instantaneous annual F averaged across ages","apical F (max F at age)",NA,"Fmsy",0.180999994277954,"Direct estimate",1.5,1.5,NA,"Fmsy",1.5,2005,135270,"mt","Total stock biomass",NA,"Bmsy",167000,NA,0.810000002384186,0.810000002384186,30230,NA
"3","Albacore - North Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172419,"Thunnus alalunga","Albacore","North Atlantic",2013,10,2011,"Full Update","Full acceptance","Multifan CL",NA,"ICCAT-SCRS","http://www.iccat.int/Documents/Meetings/Docs/2013_ALB_ASSESS_REP_ENG.pdf",NA,NA,"Michael Schirripa, Craig Brown",3,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,2011,0.10700000077486,"Instantaneous annual F averaged across ages","apical F (max F at age)",NA,"Fmsy",0.149000003933907,"Direct estimate",NA,0.720000028610229,0.149000003933907,NA,0.720000028610229,2011,76243,"metric tons","Spawning biomass",56700,NA,81110,NA,1.34500002861023,0.939999997615814,31680,"mt"
"4","Albacore - North Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172419,"Thunnus alalunga","Albacore","North Atlantic",2016,10,2015,"Full Update","Full acceptance","Aspic",NA,"ICCAT-SCRS","http://iccat.es/Documents/Meetings/Docs/2016_ALB_REPORT_ENG.pdf","Albacore 2016 Assessment Report",NA,"Rishi Sharma, Craig Brown",3,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,2014,0.0520000010728836,"Instantaneous annual F averaged across ages","apical F (max F at age)",NA,"Fmsy",0.0970000028610229,"Direct estimate",NA,0.540000021457672,NA,NA,0.540000021457672,2015,555363,"metric tons","Total stock biomass",163026.796875,"0.4*Bmsy",407567,NA,3.40000009536743,1.36000001430511,37082,"mt"
"5","Atlantic Small Coastal Shark Complex","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",NA,NA,NA,NA,2007,11,2005,"Benchmark","Full acceptance","BSP (Bayesian Surplus Production) model",NA,"Panama City Laboratory (SEFSC)","SEDAR 13 Stock assessment report.  Small Coastal Shark complex, Atlantic sharpnose, blacknose, bonnethead and finetooth shark.  NOAA/NMFS Highly Migratory Species Division, 1315 East-West Highway, Silver Spring, MD 20910 (web site: http://www.sefsc.noaa.gov/sedar/Sedar_Workshops.jsp?WorkshopNum=13).","Small Coastal Shark Complex, Atlantic Sharpnose, Blacknose, Bonnethead, and Finetooth Shark",NA,"Enric Cortes",2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,2005,0.0230000000447035,"annual exploitation rate","U (exploitation rate = catch/biomass)",0.090999998152256,"Fmsy",0.090999998152256,"Calculated as r/2",0.25,0.25,0.068000003695488,"0.75*Fmsy",0.340000003576279,2005,51605000,"number of fish","Total stock biomass",21979854,"(1-M)*Bmsy (assuming M=0.262 for the complex)",29783000,"K/2",2.34999990463257,1.69000005722046,2623000,NA
"6","Atlantic sharpnose shark - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Y",160200,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","Atlantic",2013,10,2011,"Full Update","Partial acceptance - Status determinations only","State-space age-structured production model",NA,"SEFSC","SEDAR 34 Stock Assessment Report: HMS Atlantic sharpnose shark . DOC/NOAA/NMFS SEDAR, 4055 Faber Place Drive, Suite 201, North Charleston, SC 29405 (Last accessed 11/15/2013) Available at http://www.sefsc.noaa.gov/sedar/download/S34_ATSH_SAR.pdf?id=DOCUMENT",NA,NA,"Dean Courtney, Xinsheng Zhang, Enric Cortes",2,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,2011,0.0430000014603138,"Instantaneous annual F averaged across ages","apical F (max F at age)",0.184000000357628,"Fmsy",0.184000000357628,"Direct estimate",0.233999997377396,0.233999997377396,NA,NA,NA,2011,10100000,"The sum of numbers at age times pup prodcution at age","spawning stock fecundity",3732480,"(1-M)*Bmsy",4860000,"Direct Estimate",2.70600008964539,2.07800006866455,NA,NA
"7","Atlantic sharpnose shark - Gulf of Mexico","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Y",160200,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","Gulf of Mexico",2013,10,2011,"Full Update","Partial acceptance - Status determinations only","State-space age-structured production model",NA,"SEFSC","SEDAR 34 Stock Assessment Report: HMS Atlantic sharpnose shark . DOC/NOAA/NMFS SEDAR, 4055 Faber Place Drive, Suite 201, North Charleston, SC 29405 (Last accessed 11/15/2013) Available at http://www.sefsc.noaa.gov/sedar/download/S34_ATSH_SAR.pdf?id=DOCUMENT",NA,NA,"Dean Courtney, Xinsheng Zhang, Enric Cortes",2,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,2011,0.189999997615814,"Instantaneous annual F averaged across ages","apical F (max F at age)",0.331000000238419,"Fmsy",0.331000000238419,"Direct estimate",0.574000000953674,0.574000000953674,NA,NA,NA,2011,18200000,"The sum of numbers at age times pup prodcution at age","spawning stock fecundity",13333710,"(1-M)*Bmsy",17900000,"Direct Estimate",1.36500000953674,1.01699995994568,NA,NA
"8","Bigeye tuna - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172428,"Thunnus obesus","Bigeye tuna","Atlantic",2007,6,2005,"Full Update","Full acceptance","Surplus production model","ASPIC 5.16","ICCAT-SCRS","http://www.iccat.int/Documents/Meetings/Docs/BET%20STOCK%20ASSESS%20REP_ENG_AUG%201%2007.pdf","REPORT OF THE 2007 ICCAT BIGEYE TUNA STOCK ASSESSMENT SESSION",NA,"Victor Restrepo",2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,2005,0.174999997019768,"annual exploitation rate","U (exploitation rate = catch/biomass)",NA,"Fmsy",0.20100000500679,"Direct estimate",0.870999991893768,0.870999991893768,NA,"Fmsy",0.870999991893768,2006,414752,"mt","Total stock biomass",NA,"Bmsy",451800,"K/2",0.917999982833862,0.917999982833862,90820,NA
"9","Bigeye tuna - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172428,"Thunnus obesus","Bigeye tuna","Atlantic",2010,7,2009,"Benchmark","Full acceptance","Surplus production model","ASPIC 5.16","ICCAT-SCRS","http://www.iccat.int/Documents/CVSP/CV066_2011/no_1/CV066010001.pdf","REPORT OF THE 2010 ICCAT BIGEYE TUNA STOCK ASSESSMENT SESSION",NA,"Craig Brown, Shannon Cass-Calay",2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,2008,0.202999994158745,"annual exploitation rate","average F (F average across range of ages)",NA,"Fmsy",0.214000001549721,"Direct estimate",0.949999988079071,0.949999988079071,NA,"Fmsy",0.949999988079071,2009,NA,"mt","Total stock biomass",NA,"Bmsy",NA,"K/2",1.00999999046326,1.00999999046326,92000,"mt"
"10","Bigeye tuna - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172428,"Thunnus obesus","Bigeye tuna","Atlantic",2015,10,2014,"Full Update","Full acceptance","nonequilibrium production models and statistical catch at age models","ASPIC 5.16 and SS3","ICCAT","http://iccat.int/Documents/Meetings/SCRS2015/SCRS_PROV_ENG.pdf","EXECUTIVE SUMMARY THE 2015 ICCAT BIGEYE TUNA STOCK ASSESSMENT",NA,"Craig Brown, Shannon Cass-Calay",2,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,2014,NA,"annual exploitation rate","average F (F average across range of ages)",NA,"Fmsy",NA,"Direct estimate",NA,1.27999997138977,NA,"Fmsy",NA,2014,NA,"mt","Total stock biomass",NA,"Bmsy",NA,"K/2",NA,0.670000016689301,78824,"mt"
"11","Bigeye tuna - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172428,"Thunnus obesus","Bigeye tuna","Atlantic",2018,10,2017,NA,"Full acceptance","SS","SS3","ICCAT",NA,"Executive summary of the Bigeye tuna assessment",NA,"Craig Brown, John Walter",NA,NA,NA,NA,NA,"Research & Operational",5,5,2,NA,0,4,2017,NA,"Annual Exploitation Rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spawning biomass",NA,NA,NA,NA,NA,NA,NA,NA
"12","Blacknose shark - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Y",160304,"Carcharhinus acronotus","Blacknose shark","Atlantic",2011,4,2009,"Full Update","Full acceptance","State-space, age-structured production model",NA,"Panama City Laboratory (SEFSC)","SEDAR 21 Stock Assessment Report for HMS Atlantic Blacknose Shark. September 2011. http://www.sefsc.noaa.gov/sedar/download/Atl_Blacknose_SAR.pdf?id=DOCUMENT","SEDAR 21 Stock Assessment Report for HMS Atlantic Blacknose Shark",NA,"Kate Andrews or Enric Cortes",2,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Instantaneous annual F averaged across ages","apical F (max F at age)",NA,"Fmsy",NA,"Direct estimate",NA,NA,NA,"0.75*Fmsy",NA,2009,NA,"Numbers","Spawning Stock Fecundity",NA,"(1-M)*SSFmsy",NA,"Numbers at MSY",NA,NA,NA,"numbers"
"13","Blacknose shark - Gulf of Mexico","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",160304,"Carcharhinus acronotus","Blacknose shark","Gulf of Mexico",2011,4,2009,"Full Update","Reject - Results too uncertain to be considered adequate","State-space, age-structured production model",NA,"Panama City Laboratory (SEFSC)","SEDAR 21 Stock Assessment Report for HMS Gulf of Mexico Blacknose Shark. September 2011. http://www.sefsc.noaa.gov/sedar/download/GoM_Blacknose_SAR.pdf?id=DOCUMENT","SEDAR 21 Stock Assessment Report for HMS Gulf of Mexico Blacknose Shark",NA,"Kate Andrews or Enric Cortes",2,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Blacktip shark - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Y",160318,"Carcharhinus limbatus","Blacktip shark","Atlantic",2006,6,2004,"New","Reject - Results too uncertain to be considered adequate","State-space, age-structured production model",NA,"SEFSC","SEDAR 11 Stock assessment report.  Large Coastal Shark complex, blacktip and sandbar shark.  NOAA/NMFS Highly Migratory Species Division, 1315 East-West Highway, Silver Spring, MD 20910 (web site: http://www.sefsc.noaa.gov/sedar/Sedar_Workshops.jsp?WorkshopNum=11 ).","SEDAR 11 Stock Assessment Report",NA,"Enric Cortes",2,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Blacktip shark - Gulf of Mexico","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Y",160318,"Carcharhinus limbatus","Blacktip shark","Gulf of Mexico",2006,6,2004,"New","Full acceptance","State-space, age-structured production model",NA,"SEFSC","SEDAR 11 Stock assessment report.  Large Coastal Shark complex, blacktip and sandbar shark.  NOAA/NMFS Highly Migratory Species Division, 1315 East-West Highway, Silver Spring, MD 20910 (web site: http://www.sefsc.noaa.gov/sedar/Sedar_Workshops.jsp?WorkshopNum=11 ).","SEDAR 11 Stock Assessment Report",NA,"Enric Cortes",2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,2004,0.00999999977648258,"Instantaneous annual F averaged across ages","apical F (max F at age)",0.200000002980232,"Fmsy",0.200000002980232,"Direct estimate",0.0299999993294477,0.0299999993294477,0.150000005960464,"0.75*Fmsy",0.0670000016689301,2004,1930000,"mt","Total stock biomass",15161,"(1-M)*Bmsy (using mean of M at age values)",17773,"Based on Beverton-Holt stock-recruit relationship",3,2.55999994277954,24200,NA
"16","Blacktip shark - Gulf of Mexico","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Y",160318,"Carcharhinus limbatus","Blacktip shark","Gulf of Mexico",2012,8,2010,"Full Update","Full acceptance","State-space, age-structured production model",NA,"SEFSC","SEDAR 29 Stock assessment report.  Large Coastal Shark complex, blacktip and sandbar shark.  NOAA/NSEDAR 29 Stock Assessment Report: HMS Gulf of Mexico Blacktip Shark. DOC/NOAA/NMFS SEDAR, 4055 Faber Place Drive, Suite 201, North Charleston, SC 29405 (Last accessed 9/14/2012). Avalaible at http://www.sefsc.noaa.gov/sedar/download/S29_GOM%20blacktip%20report_SAR_final.pdf?id=DOCUMENT",NA,NA,"Enric Cortes",2,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.00999999977648258,"Instantaneous annual F averaged across ages","apical F (max F at age)",0.0839999988675117,"Fmsy",0.0839999988675117,"Direct estimate",0.0740000009536743,0.0740000009536743,NA,NA,NA,2010,15300000,"The sum of numbers at age times pup production at ageÀ","Spawning stock fecundity ",NA,NA,5830000,"Based on Beverton-Holt stock-recruit relationship",NA,2.62400007247925,NA,NA
