"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","n_data_points","pval","sig"
"1","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.01625,30,0.000958439228977871,TRUE
"2","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.1875,30,0.000958439228977871,TRUE
"3","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.33719,30,0.000958439228977871,TRUE
"4","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",11.34781,30,0.000958439228977871,TRUE
"5","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",11.66042,30,0.000958439228977871,TRUE
"6","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",11.88385,30,0.000958439228977871,TRUE
"7","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.06583,30,0.000958439228977871,TRUE
"8","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",10.96677,30,0.000958439228977871,TRUE
"9","Black sea bass","Mid",1997,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",11.52271,30,0.000958439228977871,TRUE
"10","Black sea bass","Mid",1998,2263,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.15198,30,0.000958439228977871,TRUE
"11","Black sea bass","Mid",1999,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.84594,30,0.000958439228977871,TRUE
"12","Black sea bass","Mid",2000,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.56635,30,0.000958439228977871,TRUE
"13","Black sea bass","Mid",2001,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.32448,30,0.000958439228977871,TRUE
"14","Black sea bass","Mid",2002,5518,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.72396,30,0.000958439228977871,TRUE
"15","Black sea bass","Mid",2003,4595,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",11.47135,30,0.000958439228977871,TRUE
"16","Black sea bass","Mid",2004,3521,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",11.76854,30,0.000958439228977871,TRUE
"17","Black sea bass","Mid",2005,3173,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.17875,30,0.000958439228977871,TRUE
"18","Black sea bass","Mid",2006,2933,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.7249,30,0.000958439228977871,TRUE
"19","Black sea bass","Mid",2007,2920,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.27521,30,0.000958439228977871,TRUE
"20","Black sea bass","Mid",2008,3132,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.355,30,0.000958439228977871,TRUE
"21","Black sea bass","Mid",2009,3838,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.33271,30,0.000958439228977871,TRUE
"22","Black sea bass","Mid",2010,5121,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.97542,30,0.000958439228977871,TRUE
"23","Black sea bass","Mid",2011,2771,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.76406,30,0.000958439228977871,TRUE
"24","Black sea bass","Mid",2012,5108,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",13.85292,30,0.000958439228977871,TRUE
"25","Black sea bass","Mid",2013,4739,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.92344,30,0.000958439228977871,TRUE
"26","Black sea bass","Mid",2014,5896,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.86229,30,0.000958439228977871,TRUE
"27","Black sea bass","Mid",2015,6969,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",13.12031,30,0.000958439228977871,TRUE
"28","Black sea bass","Mid",2016,9412,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",13.83198,30,0.000958439228977871,TRUE
"29","Black sea bass","Mid",2017,10162,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",13.30688,30,0.000958439228977871,TRUE
"30","Black sea bass","Mid",2018,7277,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","long-term sst
degreesC",12.86521,30,0.000958439228977871,TRUE
"31","Black sea bass","Mid",1989,1.13999998569489,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","long-term sst
degreesC",12.01625,30,0.000597094583515741,TRUE
"32","Black sea bass","Mid",1990,1.0900000333786,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","long-term sst
degreesC",12.1875,30,0.000597094583515741,TRUE
"33","Black sea bass","Mid",1991,1.03999996185303,"Fmort","Average F - Ages 6 - 7 - Retrospective Adjusted","Rate",2019,2019,"Fmort
Average F - Ages 6 - 7 - Retrospective Adjusted
Rate","long-term sst
degreesC",12.33719,30,0.000597094583515741,TRUE
